responseid,workerid,surveyid,questionid,questiontext,questionpos,optionid,optiontext,optionpos,VOTIFY_LINK,acceptTime,submitTime
APT2NKM66DPX9,,survey1,q_2_1,"Should airlines ban devices that allow passengers to prevent the seat in front of them from reclining?",0,comp_4_2,"Is this even possible?",1,"http://votifi.com/polls/3319","Wed, 25 Mar 2015 17:41:01 -0400","Wed, 25 Mar 2015 17:41:12 -0400"
AUVC78LEL0T6L,,survey1,q_2_1,"Should airlines ban devices that allow passengers to prevent the seat in front of them from reclining?",0,comp_2_2,"Yes",0,"http://votifi.com/polls/3319","Wed, 25 Mar 2015 17:42:09 -0400","Wed, 25 Mar 2015 17:42:22 -0400"
A2YOZ7WFVL73Q,,survey1,q_2_1,"Should airlines ban devices that allow passengers to prevent the seat in front of them from reclining?",0,comp_2_2,"Yes",2,"http://votifi.com/polls/3319","Wed, 25 Mar 2015 17:53:31 -0400","Wed, 25 Mar 2015 17:53:40 -0400"
A2YFEHR76VRAWC,,survey1,q_2_1,"Should airlines ban devices that allow passengers to prevent the seat in front of them from reclining?",0,comp_4_2,"Is this even possible?",1,"http://votifi.com/polls/3319","Wed, 25 Mar 2015 18:03:46 -0400","Wed, 25 Mar 2015 18:04:11 -0400"
A37AB7CFQKGPWF,,survey1,q_2_1,"Should airlines ban devices that allow passengers to prevent the seat in front of them from reclining?",0,comp_2_2,"Yes",1,"http://votifi.com/polls/3319","Wed, 25 Mar 2015 18:11:25 -0400","Wed, 25 Mar 2015 18:11:32 -0400"
A3VN5GRN6TFEXZ,,survey1,q_2_1,"Should airlines ban devices that allow passengers to prevent the seat in front of them from reclining?",0,comp_4_2,"Is this even possible?",0,"http://votifi.com/polls/3319","Wed, 25 Mar 2015 18:13:26 -0400","Wed, 25 Mar 2015 18:13:43 -0400"
A3P0J22YY6VKA8,,survey1,q_2_1,"Should airlines ban devices that allow passengers to prevent the seat in front of them from reclining?",0,comp_3_2,"No",2,"http://votifi.com/polls/3319","Wed, 25 Mar 2015 18:12:40 -0400","Wed, 25 Mar 2015 18:12:53 -0400"
A3CB33DXZ1ZU3L,,survey1,q_2_1,"Should airlines ban devices that allow passengers to prevent the seat in front of them from reclining?",0,comp_3_2,"No",1,"http://votifi.com/polls/3319","Wed, 25 Mar 2015 18:25:28 -0400","Wed, 25 Mar 2015 18:25:34 -0400"
AYGUWNLZCL9Z0,,survey1,q_2_1,"Should airlines ban devices that allow passengers to prevent the seat in front of them from reclining?",0,comp_4_2,"Is this even possible?",2,"http://votifi.com/polls/3319","Wed, 25 Mar 2015 18:36:19 -0400","Wed, 25 Mar 2015 18:36:35 -0400"
A37CSK5QI41636,,survey1,q_2_1,"Should airlines ban devices that allow passengers to prevent the seat in front of them from reclining?",0,comp_2_2,"Yes",1,"http://votifi.com/polls/3319","Wed, 25 Mar 2015 19:14:17 -0400","Wed, 25 Mar 2015 19:14:27 -0400"
